LOCATION,BEDROOMS,BATHROOMS,SIZE_SQM,PRICE_KSH,SATELLITE_TOWN
Westlands,3,4,111.86392560594703,53190340.0,0
Kitengela,1,3,167.15956876218792,27191827.0,1
Kitengela,3,1,190.37806194985595,30092595.0,1
Syokimau,4,4,88.574442538399,14325199.0,1
Thika,2,1,237.58103891735297,27250572.0,1
South B,2,3,138.79450162161697,47444224.0,0
Kitengela,2,4,57.42430429147574,22930228.0,1
Ruiru,2,1,142.14312291539807,26379747.0,1
Ngong,4,4,97.02004713099254,26941792.0,1
Kileleshwa,4,2,146.0441092309906,48516604.0,0
Ruiru,2,4,117.42862514037972,30412119.0,1
Westlands,3,1,124.45642141140868,48400931.0,0
Westlands,4,4,65.30439740483124,53451971.0,0
South B,5,1,179.4036738429816,55376387.0,0
Rongai,2,3,50.632357970938074,24663609.0,1
Athi River,2,2,53.474106275700294,31818300.0,1
Ruiru,2,2,142.0416209488492,24410758.0,1
Kilimani,5,1,216.1706548306782,71179573.0,0
Kilimani,1,3,98.84441417613556,34888766.0,0
Kileleshwa,2,1,162.05833936223794,46150863.0,0
Kitengela,2,2,184.40041061181273,33500616.0,1
Athi River,2,1,168.88106623764415,24640494.0,1
Athi River,2,4,101.32750264957912,24489771.0,1
Kileleshwa,5,1,54.53719696835553,49916042.0,0
South B,1,1,20.0,23593510.0,0
Thika,2,1,104.2295700322564,30961250.0,1
Kitengela,1,2,190.68524211373048,20271033.0,1
Syokimau,1,1,52.550040914283954,32099545.0,1
Ruiru,2,2,162.01259085112594,34928473.0,1
Kileleshwa,2,3,62.99084819688767,37464944.0,0
Ruiru,2,3,126.3643545832103,25118182.0,1
Thika,2,2,162.46749684930106,23474316.0,1
Westlands,1,1,80.43027378969433,44285189.0,0
Kilimani,2,2,130.22908084181483,44079729.0,0
Westlands,5,1,95.09451979648028,65373026.0,0
Westlands,4,3,162.3089195362906,75422364.0,0
Rongai,2,1,134.11903010907824,25691125.0,1
Athi River,2,2,123.39046046575605,20912709.0,1
Kitengela,4,2,213.50099760851867,29999579.0,1
Kilimani,1,3,159.73836854209813,42857889.0,0
Kitengela,3,1,78.57888803242265,20189960.0,1
Kitengela,4,2,114.8481659521343,21965285.0,1
Kilimani,1,1,115.44607289522035,60002383.0,0
Ruiru,1,3,124.81917435751271,27298871.0,1
Ruiru,5,4,271.4705565964497,32562837.0,1
Syokimau,2,2,142.2511135626598,33867239.0,1
Syokimau,1,2,20.0,16433111.0,1
Westlands,2,4,87.43206169698209,36987633.0,0
Ruiru,2,2,20.0,18466613.0,1
Syokimau,3,2,100.21210457724962,37944840.0,1
Kitengela,3,2,20.0,21362039.0,1
Rongai,5,2,67.70457173589432,13244399.0,1
Athi River,2,1,28.756708221952806,25384061.0,1
Kilimani,2,3,143.04961067804865,42385704.0,0
Westlands,2,2,120.03236175773272,30876821.0,0
Syokimau,2,1,138.17773844992388,27077893.0,1
Westlands,1,3,113.72691668588841,52103199.0,0
Syokimau,5,2,36.34213498773494,30605407.0,1
Parklands,4,1,150.81128215528412,59201364.0,0
Syokimau,2,2,235.33347361616717,28007646.0,1
Ruiru,3,3,144.5527547163928,30005413.0,1
Syokimau,1,3,94.44452404094605,21693287.0,1
Kitengela,2,4,34.31596943367329,15017808.0,1
Kitengela,3,3,65.51598175440208,29163728.0,1
Parklands,2,1,147.18237939432353,44098549.0,0
Ruiru,5,2,184.3870816079625,36689180.0,1
South B,3,3,135.65197048331856,39379609.0,0
Lavington,2,2,167.993237382359,42627236.0,0
Kilimani,3,2,162.46069464163457,38044184.0,0
Westlands,1,2,150.39206348315506,49388695.0,0
Kilimani,2,2,80.49158428432465,51784463.0,0
Westlands,2,4,130.43541071850916,65448735.0,0
Kilimani,2,2,69.09733176707171,48049777.0,0
Athi River,3,2,121.0457371774861,26707216.0,1
Westlands,2,4,139.8518118640147,52690030.0,0
Ruiru,3,2,220.72702844321128,33614114.0,1
Rongai,2,1,41.41608153794208,15952502.0,1
Westlands,2,2,148.89045785947832,50693187.0,0
Ngong,3,3,208.87419549741568,22682811.0,1
Kileleshwa,1,3,165.53086595032778,40739839.0,0
Kilimani,1,3,169.9767265695025,59723401.0,0
Athi River,2,3,155.26169411206874,31167534.0,1
Syokimau,2,1,197.900069386525,26006425.0,1
Karen,1,3,54.75130991325793,48524319.0,0
Thika,3,3,36.84440004178521,17780731.0,1
Ngong,2,1,119.61995157208464,24668666.0,1
Kileleshwa,2,1,20.0,43495976.0,0
Kilimani,5,4,193.83874825068068,59008287.0,0
Thika,2,3,193.24291172972647,41405496.0,1
Ngong,4,3,93.99896669492843,33067765.0,1
Embakasi,1,3,97.75376420036942,27464307.0,0
Ruiru,2,2,115.65915149095972,30410173.0,1
Ruiru,4,2,123.12123902637718,28935084.0,1
Thika,2,2,127.63043515165712,18883467.0,1
Ruiru,3,1,153.4939264126982,38054978.0,1
Parklands,2,3,109.64241881949131,46247747.0,0
Rongai,1,2,176.59159820866762,24108419.0,1
Ruiru,2,2,146.7568666275182,29890392.0,1
Thika,2,2,83.58219324764187,27683694.0,1
Thika,4,2,200.10676006824585,36253620.0,1
Kilimani,1,1,38.50458083265079,27181228.0,0
Lavington,5,1,114.47005135071142,53719316.0,0
Kitengela,5,1,178.01504406452807,32280948.0,1
Rongai,1,1,76.61561370527133,24856415.0,1
Ruiru,2,4,138.57333880602908,33687796.0,1
Karen,4,1,152.60037581994288,74092019.0,0
Ruiru,5,1,68.36856792112566,22452878.0,1
Westlands,2,2,115.6513368243579,41132372.0,0
Lavington,2,2,110.6097701874474,56898248.0,0
Kilimani,2,1,86.89572889006243,37334163.0,0
Ruiru,3,3,258.1004911230465,24631750.0,1
South B,2,3,74.21361879327145,35088480.0,0
South B,3,1,180.295817644073,34299590.0,0
Syokimau,1,1,96.43193898713149,34385669.0,1
Syokimau,1,4,54.8018286668831,24616762.0,1
Ruiru,2,3,126.16885458930413,28183729.0,1
Kileleshwa,2,2,158.94560306325005,39775675.0,0
Ruiru,2,1,175.23057450394072,39230667.0,1
Athi River,2,2,213.73590663930418,31815661.0,1
Thika,2,2,296.714777396106,30153062.0,1
Ngong,1,1,135.03085222533582,20399991.0,1
Ngong,2,2,80.21446957047672,22672589.0,1
Kilimani,5,2,147.17245960769347,40109797.0,0
Kitengela,2,2,104.0272229756105,30387183.0,1
Westlands,2,3,175.5579677911338,33051468.0,0
Kitengela,2,3,42.1701422180567,21491617.0,1
Ruiru,5,2,262.10007254402626,43315845.0,1
Karen,1,3,171.36288568653077,58836120.0,0
Ruiru,3,1,20.0,20128770.0,1
Kilimani,3,3,77.45826586110167,49100382.0,0
Kilimani,3,1,168.9648626468363,39451436.0,0
Thika,1,1,190.58064337028728,25912501.0,1
Syokimau,3,2,43.6657423660822,29031573.0,1
Kilimani,1,2,162.78155102597694,48771877.0,0
Kilimani,2,4,20.0,33734695.0,0
Athi River,3,2,114.63984807173725,32514525.0,1
Westlands,1,1,186.72281052619238,51717584.0,0
Rongai,3,2,86.90905619382117,27388865.0,1
Athi River,1,2,29.584662051719192,24783465.0,1
Kilimani,3,2,128.77288778265356,56206120.0,0
Kilimani,2,2,83.71686800187132,51636564.0,0
Embakasi,1,3,157.77350196395014,30521196.0,0
Ruiru,1,3,66.88041406691637,26471354.0,1
Ruiru,5,4,73.64178662081397,30428728.0,1
Ngong,1,1,20.0,14025499.0,1
Parklands,1,3,130.19668266308898,40311282.0,0
Embakasi,2,2,110.34570370340407,29979429.0,0
Thika,3,2,48.696919755595744,24495648.0,1
Ruiru,2,2,131.62792282602553,26875329.0,1
Kilimani,1,4,181.62421803864834,38639597.0,0
Thika,2,3,107.065923394863,26419612.0,1
Kitengela,1,4,136.09001698931843,18658160.0,1
Ruiru,1,3,136.39867497510986,33999138.0,1
Lavington,2,4,47.74021036926237,41378902.0,0
Kilimani,3,3,243.39514924245574,54207033.0,0
Kitengela,1,2,91.74901019266296,25666587.0,1
Westlands,2,1,159.36697211161623,56989627.0,0
Kitengela,2,2,166.15291663374296,20330640.0,1
Westlands,5,1,111.6242923730549,61829917.0,0
Kilimani,5,2,156.4077015035781,53371348.0,0
Kilimani,3,2,134.74915330898335,40362883.0,0
Syokimau,1,2,34.94161456635564,18911500.0,1
Thika,1,4,100.06363792499471,20066541.0,1
Syokimau,2,4,83.24694585875629,19366721.0,1
South B,2,1,92.29529751923238,43849034.0,0
Ruiru,2,2,41.759809329801726,29950439.0,1
Kileleshwa,3,2,187.5860230047618,50024039.0,0
Rongai,4,2,216.11955927680478,30384896.0,1
Kileleshwa,3,3,178.6801785599045,43642927.0,0
South B,2,2,196.23175344882856,43544321.0,0
Westlands,3,2,99.32190977951063,66856662.0,0
South B,2,3,81.82458990083782,28430282.0,0
Westlands,1,3,73.28477719129731,35069254.0,0
Karen,3,1,158.64389537743335,75209076.0,0
Kitengela,1,3,133.62378318864899,16180734.0,1
Embakasi,2,2,115.36669730409446,22965584.0,0
Westlands,2,1,197.7089126517206,50274407.0,0
Kitengela,3,1,144.29648122892058,19753309.0,1
South B,3,2,69.68054174876491,40320658.0,0
Kitengela,2,2,79.14547025185831,28063096.0,1
Syokimau,3,1,160.91959795524872,27919496.0,1
Athi River,2,2,182.5039711592758,35323078.0,1
Kitengela,2,3,153.10081393535816,35671088.0,1
Syokimau,3,1,233.81332487232487,34394156.0,1
Syokimau,3,1,218.10042994388513,31303971.0,1
Lavington,5,3,146.46215009104577,76694947.0,0
Westlands,1,1,69.68516043110986,51472443.0,0
Kileleshwa,3,4,41.40074929609395,40547327.0,0
South B,3,2,96.75709529911711,43702103.0,0
Karen,4,2,165.19280678496943,62838100.0,0
Kitengela,1,1,229.59882475871626,26948246.0,1
Syokimau,3,1,145.04682206464798,31245361.0,1
Kileleshwa,2,1,190.1233676538742,53751472.0,0
Kilimani,2,1,105.28155082873187,26026063.0,0
Kitengela,2,2,157.366147513653,26262921.0,1
Ruiru,2,1,169.40140976863034,37621830.0,1
Syokimau,2,2,20.0,20645405.0,1
Westlands,4,2,95.19367185740938,66455679.0,0
South B,2,1,176.98202305667218,47275508.0,0
Embakasi,3,1,136.4681001381939,30912886.0,0
Athi River,2,1,48.209097110944015,18975917.0,1
Kitengela,1,1,20.0,18379300.0,1
Ruiru,1,3,98.05315528187961,37407392.0,1
Ngong,2,2,115.70485842636725,34076855.0,1
Athi River,2,3,66.96462301029928,22908684.0,1
Kilimani,1,2,128.58509622167966,37707739.0,0
Lavington,2,2,150.38320483397368,49654906.0,0
Rongai,2,2,160.24123024357397,27280549.0,1
Parklands,2,3,20.0,25545160.0,0
Thika,2,1,41.14289413151279,20378224.0,1
Syokimau,1,1,101.72264109871587,32353174.0,1
Ruiru,4,2,154.33038786224782,20302653.0,1
Parklands,4,2,149.35404081300214,50653643.0,0
Rongai,3,2,148.31219687260054,34316314.0,1
Westlands,1,2,96.99492348186409,41153408.0,0
Westlands,3,2,100.34199376140236,66295233.0,0
Ruiru,3,2,76.30024389469556,22681766.0,1
Ngong,3,2,166.09164768635088,31345622.0,1
Embakasi,1,3,64.77067273562531,23220712.0,0
Kilimani,3,3,171.0021837113742,45099867.0,0
Syokimau,3,2,132.47119428825877,26404510.0,1
Ruiru,2,2,117.29733129269079,30618293.0,1
South B,3,3,80.597376013412,39221935.0,0
Rongai,2,2,38.66748833015242,19676544.0,1
Rongai,2,2,81.14083461731727,16057666.0,1
Kitengela,1,3,100.19958788250682,25405683.0,1
Ruiru,3,2,20.0,25483467.0,1
Kileleshwa,1,1,108.15869067992014,37221547.0,0
Westlands,2,3,175.46144208156034,71107532.0,0
Rongai,2,1,154.03307432603236,17662540.0,1
Ngong,2,3,90.22764745550955,13085101.0,1
Embakasi,1,3,122.81617790491366,23600635.0,0
Embakasi,3,4,86.63012583468003,32928028.0,0
Kitengela,3,1,128.92564400014177,22044895.0,1
Thika,1,2,212.4064694246419,21799473.0,1
Parklands,1,2,178.10992815749256,48090794.0,0
Rongai,1,2,151.24765834156517,26288383.0,1
Kileleshwa,4,1,90.42690525697691,45727972.0,0
Kitengela,2,2,164.9963035766903,32664859.0,1
Kilimani,2,2,20.0,35683494.0,0
South B,1,1,104.85879108054657,29336925.0,0
Syokimau,3,2,155.022685189437,36312438.0,1
Kileleshwa,4,3,164.42527284286507,33788790.0,0
Athi River,3,3,160.19306941294445,16292013.0,1
Syokimau,3,4,137.68984135258168,27751468.0,1
Ruiru,1,2,108.25650125496702,29550961.0,1
Kilimani,1,4,152.27855818958932,46368676.0,0
Athi River,1,3,62.82833756482197,24180559.0,1
